2021 Rank,Airport,City,Country,Code,Passengers
1,Hartsfield–Jackson Atlanta International Airport,"Atlanta, Georgia",United States,ATL," 75,537,213.00 "
2,Dallas/Fort Worth International Airport,"Dallas-Fort Worth, Texas",United States,DFW," 62,465,756.00 "
3,Denver International Airport,"Denver, Colorado",United States,DEN," 58,828,552.00 "
4,O'Hare International Airport,"Chicago, Illinois",United States,ORD," 54,020,399.00 "
5,Los Angeles International Airport,"Los Angeles, California",United States,LAX," 48,007,284.00 "
6,Charlotte Douglas International Airport,"Charlotte, North Carolina",United States,CLT," 43,302,230.00 "
7,Orlando International Airport,"Orlando, Florida",United States,MCO," 40,351,068.00 "
8,Guangzhou Baiyun International Airport,"Baiyun-Huadu, Guangzhou, Guangdong",China,CAN," 40,249,679.00 "
9,Chengdu Shuangliu International Airport,"Shuangliu-Wuhou, Chengdu, Sichuan",China,CTU," 40,117,496.00 "
10,Harry Reid International Airport,"Las Vegas, Nevada",United States,LAS," 39,710,493.00 "
11,Phoenix Sky Harbor International Airport,"Phoenix, Arizona",United States,PHX," 38,846,713.00 "
12,Miami International Airport,"Miami-Dade County, Florida",United States,MIA," 37,302,456.00 "
13,Istanbul Airport,"Arnavutköy, Istanbul",Turkey,IST," 36,988,563.00 "
14,Shenzhen Bao'an International Airport,"Bao'an, Shenzhen, Guangdong",China,SZX," 36,358,185.00 "
15,Seattle–Tacoma International Airport,"SeaTac, Washington",United States,SEA," 36,154,015.00 "
16,Mexico City International Airport,"Venustiano Carranza, Mexico City",Mexico,MEX," 36,056,614.00 "
17,Chongqing Jiangbei International Airport,"Yubei, Chongqing",China,CKG," 35,766,284.00 "
18,George Bush Intercontinental Airport,"Houston, Texas",United States,IAH," 33,677,118.00 "
19,Shanghai Hongqiao International Airport,"Changning-Minhang, Shanghai",China,SHA," 33,207,337.00 "
20,Beijing Capital International Airport,"Chaoyang-Shunyi, Beijing",China,PEK," 32,639,013.00 "
21,Kunming Changshui International Airport,"Guandu, Kunming, Yunnan",China,KMG," 32,221,195.00 "
22,Shanghai Pudong International Airport,"Pudong, Shanghai",China,PVG," 32,206,814.00 "
23,Sheremetyevo International Airport,"Khimki, Moscow Oblast",Russia,SVO," 30,943,456.00 "
24,Xi'an Xianyang International Airport,"Weicheng, Xianyang, Shaanxi",China,XIY," 30,173,312.00 "
25,Emirates Dubai International Airport,"Garhoud, Dubai",United Arab Emirates,DXB," 29,100,000.00 "
